new entry "AS_BLACKHEART"
type "StatusData"
data "StatusType" "DECAYING_TOUCH"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "AS_BLACKHEART_DisplayName"
data "DisplayNameRef" "<font color="#dd00ff">Black-Hearted</font>"
data "Description" "AS_BLACKHEART_Description"
data "DescriptionRef" "Healing spells and potions will always damage this cruel, cruel person."
data "Icon" "AS_Blackhearted"
data "FormatColor" "Decay"
data "StatusEffect" "none"
data "ImmuneFlag" "None"
data "StatsId" "Stats_Nope"

